s1	s2	s4	s5	s6	s7	s8	q	rating
2	4	2	2	4	4	4	3	3.5
1	1	4	4	3	4	2	6	3.5
2	4	2	2	4	4	4	3	4
1	2.19	2	5	4	5	5	3	4
1	2	4	2	3	5	5	3	5
1	1	2	2	3	4	2	5	4
1	3	4	5	3	5	5	3	4.5
1	4	4	4	2	4	4	3	4.5
4	5	4	4	4	5	4	3	4
1	1	2	3	2	4	3	3	4
1	2.19	1	4	1	5	2	3	5
2	2.19	4	4	3	4	4	6	4
1	1	2	3	2	4	4	6	4
2	2.19	1	2	1	4	4	3	4
3	4	4	4	4	5	4	3	4
2	3	2	3	3	4	3	3	3.5
1	1	2	2	2	5	3	3	4
1	4	4	4	1	4	4	3	4
1	1	2	2	2	4	4	6	4.5
2	2.19	3	4	2	4	3	6	3.5
1	1	1	1	1	5	1	6	4
1	2.19	1	3	3	3	3	6	4.5
5	2.19	1	1	1	4	1	3	4
2	2.19	2	1	1	4	1	2	3.5
5	4	2	1	1	5	2	5	5
2	2.19	4	3	4	4	2	3	3.5
2	5	5	5	4	4	5	2	3.5
1	2.19	2	2	2	5	2	6	3.5
1	1	4	4	4	4	5	5	4
1	1	1	2	2	5	1	2	4.5
1	1	4	4	4	4	3	6	3.5
5	5	4	4	1	3	2	3	4
1	2.19	1	2	2	5	2	6	5
1	4	3	3	2	3	2	4	2.5
1	2.19	1	1	3	5	3	6	4.5
1	2.19	3	4	2.42	5	5	6	5
1	1	1	2	1	4	4	3	4
1	1	1	1	1	5	2	6	4
1	1	2	2	3	4	2	3	4.5
1	5	1	1	1	5	1	6	5
1	2.19	1	1	3	5	2	6	5
1	1	2	2	4	4	4	6	4
2	4	3	2	2	4	2	3	3.5
1	1	4	2	2	5	2	6	4.5
1	1	1	2	1	5	4	3	4
1	1	2	5	1	5	4	2	4.5
5	5	3	1	3	5	1	2	4
1	1	1	1	1	5	4	6	3.5
4	3	4	4	3	4	4	2	4.5
1	1	1	2	1	5	1	6	5
1	1	4	4	3	4	3	6	4
1	1	3	2	3	3	3	6	4
1	2.19	4	4	2.42	4	4	6	4
1	2.19	2	3	2.42	4	4	6	5
1	2.19	1	1	1	3	1	6	3.5
2	2.19	2	2	2	4	3	3	3.5
2	5	5	5	4	5	5	1	4.5
1	1	2	2	1	5	1	5	4.5
1	1	3	4	4	3	2	6	3.5
1	2.19	2	1	3	4	1	3	3.5
1	1	2	2	1	4	4	2	3.5
2	5	4	5	5	5	5	2	5
2	2	2	2	2	4	2	3	3.5
1	1	3	4	3	5	4	6	3.5
1	1	4	4	1	5	3	6	4
1	1	3	4	3	5	3	5	4
1	1	4	3	2	5	3	6	4
5	5	4	4	3	3	2	5	3.5
1	1	2	2	2	4	2	6	4
1	1	2	3	2	4	2	6	4
1	1	2	3	1	3	1	6	3.5
1	1	2	2	2	4	2	6	3.5
1	1	2	2	2	3	2	6	3.5
5	4	5	3	3	5	5	2	4.5
2	2.19	3	2	2	5	2	3	4
1	1	1	1	1	5	2	3	4.5
1	1	3	5	5	5	4	6	4.5
1	1	3	1	1	4	3	6	3.5
2	2.19	4	2	3	3	3	6	3.5
2	1	4	2	2	4	3	3	3.5
1	3	3	4	3	5	4	5	3.5
1	1	1	3	1	5	5	6	5
1.73	2.19	3	3	3	5	4	1	5
2	2.19	2	2	2	4	2	1	4
1	1	1	3	4	3	2	2	3.5
2	2.19	2	4	2	4	4	3	4
1	1	3	2	2	5	3	3	4.5
1	1	4	4	3	5	4	3	4.5
1	1	1	1	2.42	4	1	1	4.5
1	1	2	2	1	4	3	6	3.5
1	2.19	5	4	3	3	3	6	3.5
1	1	1	2	3	4	2	6	4
1	1	3	5	3	5	5	6	4.5
1	1	3	2	1	4	3	6	4
2	2.19	2	3	2	4	3	6	4
1	1	2	3	1	5	3	6	4
1	1	2	2	2	3	2	6	3.5
1	1	1	1	1	4	1	6	3.5
4	5	4	3	2	5	4	2	3.5
5	2.19	5	2	2	5	4	3	3.5
4	4	4	3	3	5	5	5	5
1	2.19	1	4	4	4	2	2	3.5
5	2.19	1	1	1	4	5	2	4
1	1	4	4	4	4	4	6	4
1	1	2	2	3	4	2	6	3.5
1	1	2	2	2	5	2	6	4.5
5	2.19	3	3	3	4	3	5	4
1	1	1	2	2	5	3	6	4.5
1	1	2	4	1	5	3	3	4.5
1	1	2	4	4	4	2	6	4
1	2.19	5	3	4	2	1	6	3.5
4	2.19	4	4	4	4	4	3	4
1	1	2	1	1	5	2	6	4.5
1	2.19	3	3	1	4	4	6	4
1	2.19	2	3	2	4	3	6	3.5
1	2.19	1	5	1	3	3	6	3.5
1	2.19	2	2	3	3	3	6	3.5
1	1	3	2	2	4	2	6	4
1	1	3	4	3	4	5	3	4
1	2.19	2	3	3	4	4	6	4
1	1	2	2	2	5	4	6	4
1	1	4	4	2	4	4	6	4
2	4	3	4	3	5	4	3	4.5
1	2	1	1	1	5	1	4	4.5
1	2.19	3	2	2	5	2	6	4
1	2	4	4	4	4	3	6	3.5
1	2.19	3	3	2	5	4	6	4
1	2.19	1	2	2	4	2	3	3.5
1	1	2	2	2	3	2	6	4
2	5	4	4	4	5	5	3	5
1	1	1	3	1	4	1	2	4
2	2	2	2	2	4	2	6	4
1	1	3	3	4	4	3	6	3.5
1	1	4	5	1	5	4	4	4
5	4	4	3	4	5	4	1	3.5
1	2.19	4	4	3	4	4	6	3.5
4	4	2	2	4	1	1	3	3.5
1	1	4	2	2	4	4	6	3.5
2	1	5	4	1	4	3	3	3.5
2	2	2	3	2	4	3	3	3.5
2	2	2	3	3	4	3	5	3.5
1	1	5	4	4	5	4	6	4.5
1	1	4	4	3	4	4	6	4.5
1	2.19	1	2	3	5	1	3	3.5
1	1	1	1	3	5	1	6	5
2	2.19	2	2	2	4	2	3	3.5
1	1	4	2	3	5	3	2	3.5
2	2	2	2	2	4	2	6	4.5
1	2.19	1	2	2	5	4	6	3.5
1	2.19	1	4	3	3	3	5	4
1.73	2.19	4	3	3	4	3	3	3.5
1	1	2	3	1	4	4	6	3.5
4	4	1	1	1	5	1	3	4.5
2	4	2	4	2	5	2	3	4
1	1	1	1	1	4	2	6	4
1	1	1	2	2.42	5	2	5	3.5
2	2	4	4	4	4	4	3	3.5
1	2.19	2	5	5	5	2	5	3.5
1	2	1	1	1	4	3	6	3.5
1	1	4	5	3	5	4	3	3.5
1	2.19	1	1	2	4	1	6	4
5	4	4	4	4	4	4	3	4
2	3	3	3	3	4	3	6	5
1	2.19	1	2	3	3	1	6	3.5
1	1	2	3	2	3	3	6	4.5
1	1	3	5	4	5	2	6	5
2	4	4	5	4	4	4	2	5
1	1	2	4	3	4	3	3	3.5
1	2.19	1	2	2	5	4	6	4.5
2	3	4	4	4	4	4	2	3.5
1	1	1	1	2	5	3	3	4.5
1	1	2	4	4	5	2	6	4
1	2.19	1	2	1	4	2	6	4
1	1	2	2	2	4	2	6	3.5
1	1	3	1	2	5	1	3	4
2	2	2	2	2	4	4	5	3.5
1	2	4	2	3	4	2	3	4
1	1	2	2	1	4	3	6	3.5
1	1	2	4	3	5	3	6	4.5
1	1	1	1	2.42	5	2	5	3.5
1	1	4	4	4	4	4	6	3.5
2	2.19	2	2	2	5	2	6	4
1	2.19	1	3	1	5	3	6	4
1	1	4	3	4	4	3	5	3.5
1	3	1	1	1	4	1	6	4
1	1	1	2	1	5	3	6	4.5
1	1	2	2	2	5	3	6	4.5
1	2.19	4	3	3	5	4	6	5
1	3	2	2	2	4	3	3	4
1	1	2	4	1	4	4	6	3.5
4	2.19	5	5	4	5	5	6	4.5
1	2.19	3	3	3	4	3	2	4
1	1	5	5	5	5	5	3	4.5
2	2	4	4	4	4	4	3	4
1	2.19	4	5	4	4	2	3	3.5
2	2.19	2	3	2	4	4	3	4.5
4	2.19	4	3	3	4	3	3	3.5
1	1	2	2	2	5	4	6	4
1	3	1	1	1	4	2	6	3.5
1	1	1	2	1	5	2	6	5
1	1	3	2	3	5	2	6	4
1	2.19	4	3	4	3	3	6	4
1	2.19	2	2	2	4	4	5	4
5	2.19	3	2	3	5	4	2	4.5
1	2.19	3	4	3	4	2	6	4.5
1	1	2	1	1	4	1	6	4
1	1	1	2	2	4	3	3	4
2	2.19	4	4	2	5	4	6	4
2	4	2	2	2	4	3	2	4
1	2.19	1	4	2	4	1	6	4.5
1	2.19	3	5	2	5	1	6	4.5
3	2.19	2	2	3	4	3	2	4.5
2	2	2	2	2	4	2	6	4
1	1	2	4	2	4	2	6	4
5	5	5	4	5	5	4	3	3.5
1	1	3	3	3	4	2	5	4.5
2	2.19	2	4	2	4	3	3	3.5
1	1	2	2	1	5	2	6	4
2	2	2	5	2	5	4	2	5
1.73	3	3	2	2	5	3	2	4
1	2	2	2	2	4	3	3	4
5	5	4	4	3	5	5	3	5
1	1	1	1	1	5	1	3	5
2	3	2	4	3	4	2	5	4
1	1	4	4	3	4	4	6	4
2	3	2	3	2	4	3	3	3.5
1	2.19	1	3	1	5	1	3	4.5
1	1	3	3	4	3	3	6	3.5
1	2.19	4	4	2.42	4	4	6	4
1	4	1	1	4	4	1	2	4
4	4	2	2	3	4	4	2	3.5
3	3	3	3	3	4	3	6	3.5
2	2	2	1	1	4	3	6	3.5
1	1	1	3	1	4	3	6	3.5
1	1	1	5	1	5	5	6	4
2	5	4	4	4	5	4	6	4.5
1	1	2	2	1	5	3	6	4.5
2	2	2	2	2	4	2	6	3.5
1	2.19	1	2	2	4	2	6	4
5	4	5	4	3	2	3	2	3.5
1	1	2	2	1	4	3	6	5
1	3	3	2	2	4	4	5	4
1	1	3	3	4	5	4	5	4
1	1	2	4	2	5	3	6	5
2	2.19	3	4	1	4	4	6	4
1	1	4	4	4	4	4	6	3.5
1	1	3	5	3	5	3	6	4
1	1	4	3	4	4	3	2	4
2	2	2	5	2	5	5	3	4.5
2	3	2	1	2	5	3	3	4
2	2	2	2	2	4	2	6	4
1	4	5	4	4	3	2	3	3.5
2	3	4	3	3	4	4	3	4
2	2	3	4	4	4	4	3	4
1	1	1	1	1	4	1	6	3.5
5	2.19	4	4	3	4	4	2	4.5
1	1	4	4	4	4	2	6	3.5
1	4	4	4	1	4	4	3	4
2	2	2	4	2	4	4	3	5
2	2	2	2	2	4	2	6	3.5
1	2	3	3	2	5	5	6	5
1	1	4	3	2	4	4	4	3.5
1	1	1	3	1	4	3	6	3.5
3	4	2	3	2	4	2	5	4.5
1	2.19	4	3	3	5	4	2	4
1	1	2	2	2	4	2	6	3.5
2	2.19	3	2	2	3	3	1	3.5
4	3	4	4	4	5	4	5	4
1	2.19	1	3	1	4	1	2	4
1	2.19	2	2	2	5	3	5	5
1	1	1	4	2.42	5	3	6	5
1	1	2	1	1	4	2	3	3.5
2	2	2	3	3	4	2	6	3.5
1	2.19	1	3	5	2	1	6	3.5
1	1	2	2	2	4	3	6	4
4	5	4	5	4	5	5	3	4.5
1	1	3	3	2	4	3	6	3.5
5	5	5	3	5	5	5	2	5
4	4	3	2	2	5	3	3	4
1	4	2	4	2	4	2	2	3.5
1	3	3	3	3	3	3	6	3.5
1	1	4	4	4	4	3	6	4
1	2.19	2	2	2	4	2	2	4
1	1	2	2	2	4	4	5	4.5
1	1	2	3	2	5	3	5	4.5
2	4	2	3	2	4	4	3	4
2	2.19	3	3	3	4	3	3	4.5
1	2.19	4	4	3	4	4	6	3.5
1	1	1	1	2	4	1	3	3.5
2	2	3	5	3	4	4	3	4
4	4	4	4	2	4	3	5	3.5
1	1	1	1	2	3	1	6	3.5
1	1	1	4	1	5	1	3	4.5
1	1	4	2	2.42	5	4	6	5
1	2.19	2	2	2	4	2	5	4
1	2.19	1	3	1	5	1	3	4.5
4	4	4	4	2	4	4	2	4
1	4	1	3	3	4	3	3	3.5
1	2.19	2	2	3	4	2	6	3.5
1	1	2	1	3	3	2	6	3.5
1	1	2	2	3	4	2	6	3.5
5	5	4	3	4	4	3	3	4
1	2	2	2	2	4	3	3	4
1	1	2	2	1	3	2	6	3.5
1	4	3	3	2	5	3	2	4
1	2.19	2	2	3	4	2	3	3.5
4	5	5	2	2	5	4	3	4.5
1.73	2.19	3	3	2	4	3	3	4
4	3	2	3	1	5	4	1	4.5
2	2	3	5	4	3	4	5	3.5
1	1	1	1	1	4	1	6	3.5
1	1	1	3	2	5	2	2	4
1	1	1	2	1	5	2	6	3.5
1	2	4	3	2	4	2	3	4
1	1	1	4	3	4	3	6	3.5
1	2.19	3	3	4	4	4	2	4.5
5	2.19	4	2	2	5	2	3	4
1	1	1	2	1	5	2	6	5
1	2.19	2	3	2	4	2	2	4
3	3	4	3	3	5	3	3	3.5
1	2.19	3	2	2	4	2	3	4.5
2	2.19	4	3	3	4	4	6	3.5
1.73	4	5	1	1	5	2	3	4.5
1	1	1	4	1	4	3	6	3.5
1	1	1	3	2	5	2	6	5
3	3	3	2	2	5	4	5	4
5	1	2	3	2	4	2	5	4
5	2.19	4	3	2	3	2	4	4
1	2	2	2	4	3	2	3	3.5
1	1	2.54	5	5	1	1	6	3.5
2	2	2	3	2	5	2	6	4
1.73	2	1	1	1	5	3	2	4
1	3	3	4	3	4	3	2	4
2	3	4	4	3	5	4	3	4.5
1	1	3	3	4	4	3	6	3.5
1	2.19	4	5	2	4	4	3	5
1	1	1	1	2	3	1	6	4
1	1	1	2	2.42	5	2	6	4.5
1	1	3	4	4	3	4	6	3.5
1	2.19	2	2	2	4	1	4	4
1	1	1	1	1	5	2	6	3.5
1	2.19	2	1	1	4	2	6	4
2	2	1	1	2	4	1	3	4
1	1	2	4	4	3	2	6	3
1	2.19	4	4	4	5	4	3	4.5
2	5	2	2	3	5	2	4	4
4	4	3	4	3	3	2	3	3.5
1	1	2	2	1	4	2	3	3.5
1	2.19	4	4	4	4	4	6	4.5
1	1	3	3	3	5	5	6	5
1	2	3	5	2	5	5	3	4
1	1	2	2	2	5	2	6	4
1	1	4	4	1	3	4	6	5
4	4	5	4	4	5	5	2	5
1	1	3	5	5	4	3	6	3.5
5	4	4	4	3	4	2	3	4
1	1	4	3	4	4	3	6	4.5
1	1	1	1	1	5	2	3	4
1	1	1	1	4	4	1	6	3.5
1	2.19	4	4	4	4	4	3	3.5
1	2.19	3	4	4	3	3	6	3.5
1	2.19	2	3	2	4	4	6	3.5
1	1	1	1	1	4	1	1	4
2	2.19	3	2	2	4	3	2	4
1	1	4	5	4	5	4	6	4.5
1	1	3	3	2	4	4	6	5
1	1	5	3	4	4	4	5	5
1	1	1	3	4	2	2	3	3.5
5	5	4	3	2	5	3	2	4.5
1	1	4	4	3	4	4	6	5
1	1	1	1	1	5	1	6	4.5
1	1	4	4	2	5	4	6	4
1	1	1	3	4	3	2	3	3.5
2	5	3	2	2	5	2	3	4
1	1	1	2	1	4	2	6	3.5
5	4	4	3	3	5	5	3	4
4	4	4	3	3	4	3	3	4
4	4	2	3	2	3	2	2	3.5
1	1	1	1	2	4	2	3	3.5
4	4	5	3	3	4	3	2	3.5
2	2	2	2	2	4	2	6	3.5
2	3	3	4	4	4	3	6	4
1	1	2	4	2	5	3	6	4
1	1	5	4	2	4	4	6	4
2	4	2	3	2	5	3	2	3.5
1	2	3	3	2	5	3	1	4
1	2.19	3	2	3	4	4	6	4
2	2.19	2	3	3	3	2	6	4
2	4	2	4	3	4	4	4	3.5
3	2.19	2	2	2	5	3	2	4.5
1	2.19	3	2	2.42	4	3	6	4
4	2.19	3	3	3	4	2	3	3.5
1	1	3	1	2	5	1	5	3.5
2	2	4	3	4	3	3	6	3.5
5	2.19	4	5	3	5	4	5	5
1	1	4	4	4	3	3	6	3.5
1	4	2	2	2	4	2	3	3.5
1	1	5	5	4	5	4	3	4
4	3	1	2	2	4	1	2	4
2	2.19	2	2	2	5	2	6	5
1	1	4	2	4	5	3	6	4
1	2.19	1	1	1	5	1	6	3.5
1	5	3	3	2	4	2	6	4
2	2	4	5	4	4	5	6	4
1	3	1	3	2	4	2	2	3.5
1	2	1	1	1	4	1	2	3.5
2	2.19	4	5	3	4	4	6	4.5
1	1	2	2	1	5	4	6	4
1	1	2	4	4	3	2	2	3.5
1	1	1	5	1	5	1	6	4.5
1	1	1	2	1	4	1	3	4
2	2	2	3	2	4	3	3	3.5
1	2.19	1	3	2	5	4	6	5
1	1	1	2	1	5	4	6	4.5
2	2.19	1	1	2	5	4	6	4.5
1	1	1	2	2	5	2	6	4
1	2.19	2	3	3	4	3	1	3.5
1	1	2	1	1	4	3	6	4
1	2.19	4	4	4	4	4	3	4.5
1	1	4	1	2	3	2	6	3.5
2	2	2	2	2	4	4	6	4.5
1	1	1	4	4	4	4	3	3.5
1	2.19	2	2	2	5	3	3	5
2	4	4	3	4	4	3	4	4
1	1	1	3	3	5	3	6	4
4	5	3	3	2	4	2	2	4
1	2.19	2	4	2	4	4	6	3.5
1	1	1	2	2	4	3	1	4
1	1	1	1	1	5	1	6	4.5
4	4	3	3	2	4	3	2	3.5
5	5	4	2	2	4	4	2	3.5
4	4	2	2	2	4	4	2	4
1	1	4	2	1	4	4	6	4.5
1	2.19	1	1	2	4	2	3	4
1	1	1	1	1	5	1	6	3.5
2	2.19	1	2	2	4	2	3	4
2	2	4	4	3	4	3	3	4
1	1	2	3	2.42	4	4	6	3.5
1	1	4	1	1	4	1	6	3.5
1	1	1	3	2	4	2	3	3.5
2	2.19	2	2	2	4	2	3	3.5
1	2.19	2	1	2	4	4	6	3.5
1	2.19	2	2	2	4	3	5	3.5
1	2.19	1	3	2	5	3	2	4.5
1	1	3	5	4	3	3	3	3.5
5	4	1	1	1	5	3	2	3.5
1	2.19	4	4	4	4	4	3	3.5
1	2	2	2	2	4	3	3	4.5
1	2.19	1	3	1	5	3	6	4
1	2	2	2	2	4	3	3	4
1	1	1	4	1	4	1	6	4
1	4	2	2	2	4	2	2	3.5
1	1	3	2	2	3	1	6	3.5
5	4	4	4	3	4	3	2	4
1	2.19	1	1	3	5	1	6	5
1	2.19	1	1	2.42	5	1	6	4.5
1	3	5	4	4	4	3	3	3.5
1.73	2.19	1	2	2	4	3	1	4
4	5	5	4	2	4	5	3	4
2	4	4	4	2	3	4	3	3.5
1	1	2	1	1	5	2	2	4
5	5	5	3	4	5	3	3	4.5
2	2.19	2	2	2	4	2	3	3.5
2	5	2	2	2	4	3	3	3.5
1	3	1	1	3	5	1	6	4.5
1	1	2	3	4	5	2	6	5
1	1	1	5	3	4	5	3	4.5
1	2.19	3	4	2	4	3	6	3.5
1	2.19	1	3	1	1	1	2	3.5
1	4	3	2	3	5	2	3	4
1	1	1	1	1	5	1	6	5
1	2.19	2	3	2	5	2	3	4.5
1.73	2	2	4	2	4	3	2	3.5
1	1	4	3	4	4	4	6	4.5
2	1	1	3	1	5	1	2	4
1	2.19	4	4	3	5	5	3	4
3	3	2	2	2	4	4	3	3.5
2	1	1	1	1	4	1	3	4.5
1	1	1	2	1	4	2	6	3.5
1	1	1	3	1	4	1	6	4
4	4	4	4	2	4	2	3	4
2	4	2	2	2	4	2	3	4
1	1	1	2	2	3	2	6	3.5
1	2.19	3	4	2	5	3	6	4.5
5	5	4	4	3	3	3	2	3.5
4	4	4	2	2	4	3	3	4
1	2	4	3	2	4	3	1	3.5
1	1	4	4	1	5	4	6	4
2	2	3	2	2	4	3	3	3.5
5	2.19	5	5	5	5	5	3	3.5
1	1	1	4	2	5	4	5	5
1	3	4	4	1	4	1	4	4
2	2.19	3	2	2	4	3	6	4
1	2.19	1	3	2	4	2	6	4
1	2	4	4	4	4	4	6	3.5
2	2.19	2	2	2	5	3	5	4.5
1	2.19	2	4	2	4	2	6	3.5
2	2.19	2	2	2	4	2	3	3.5
4	4	2	2	2	4	2	3	4
1	3	3	4	3	2	1	3	2.5
1	1	3	4	4	5	5	6	4.5
1	2	2	2	2	4	1	2	4
1	2.19	1	2	2	4	2	3	3.5
1	1	2	5	4	5	5	6	4
1	2.19	1	2	2	5	3	6	4
5	5	4	4	3	5	3	3	4
2	3	2	3	2.42	4	2	5	4
1	2.19	2	3	2.42	4	2	2	4
1	2	3	5	2	4	4	3	4
1	1	3	2	2	5	2	3	4
5	5	4	4	4	4	2	3	4
1	1	5	5	3	5	3	5	4.5
1	1	1	2	3	4	2	3	4
2	2	2	3	3	3	2	6	3.5
4	4	5	2	4	5	3	4	5
1	2.19	4	3	4	5	4	6	4.5
1	1	4	4	5	5	4	6	4
2	1	2	2	1	4	2	5	4
1	3	2	2	3	4	2	3	4
5	2.19	4	2	3	4	4	3	4
1	2	2	2	2	3	2	6	3.5
1	4	2	3	2	4	3	3	4
4	4	4	5	2	4	4	6	5
2	2.19	2	3	2	4	4	6	3.5
5	5	5	3	4	4	4	3	4
1	2.19	2	3	2	4	2	6	3.5
4	2.19	4	4	4	4	4	2	4
2	5	2	4	4	4	2	2	3.5
1	1	3	2	2	5	4	6	5
1	2.19	4	5	2	4	4	3	3.5
4	2.19	1	1	2	5	3	1	4
1	2.19	2	3	3	4	3	5	3.5
1	2	2	2	2	4	3	3	4
1	4	2	2	2	4	2	2	4
1	1	2	4	2	4	2	6	3.5
1	1	2	4	2	4	5	6	4
2	5	3	2	2	4	2	3	4.5
1	3	1	1	3	4	1	1	3.5
1.73	2.19	4	2	4	4	2	6	3.5
1	1	5	5	4	5	5	3	5
3	1	1	1	1	5	1	3	4
1	1	2	2	2	5	3	6	4
2	2	3	3	2	3	3	3	3.5
1	1	1	1	1	4	1	6	3.5
1	1	1	2	3	4	1	3	4
1	1	2	2	3	3	2	6	3.5
1	2	3	3	4	4	4	3	4
1	2	2	4	5	5	5	6	5
5	5	4	3	3	5	3	3	4
1	1	4	3	3	5	3	6	4
2	2.19	2	2	2	4	3	6	4.5
1	1	3	2	2	5	4	6	4.5
1	2.19	1	1	3	3	1	6	4
3	2.19	3	4	2	3	3	6	4
1	1	4	5	1	4	3	6	4
4	2.19	5	4	5	5	4	2	5
1.73	5	5	4	3	5	3	3	4
1	2.19	1	1	3	5	1	2	4
1	1	4	2	2	4	2	3	3.5
1	1	2	2	2	3	3	6	3
1	1	3	2	2	3	2	6	4
1	1	2	4	2	4	4	6	4
2	2.19	1	1	1	4	2	6	4
1	1	4	4	3	3	2	6	3.5
4	4	2	4	3	4	2	3	3.5
5	2.19	5	3	4	4	3	3	4
1	2	2	2	2	4	1	2	3.5
1	2.19	2	3	3	5	2	6	5
5	2.19	5	4	3	5	4	3	4
1	1	2	2	1	3	3	6	3.5
2	2	2	2	2	4	3	6	4.5
2	4	2	2	2	5	3	3	3.5
1	1	1	4	1	4	3	2	3.5
2	4	5	5	3	5	5	1	4.5
1	2	2	3	3	3	2	6	3.5
1	1	4	4	4	4	4	6	3.5
1.73	2.19	4	4	2	4	4	5	5
2	2	2	2	2	5	2	2	3.5
1	5	1	3	2	5	2	6	4.5
2	2.19	4	4	3	4	4	3	4
2	2	2	2	2	4	3	3	3.5
1	2.19	1	2	2	3	1	3	3.5
1	1	5	3	1	5	3	3	3.5
4	4	5	5	4	4	4	3	4
1	4	3	2	2	5	3	2	4
2	2	4	4	2	5	2	3	5
5	4	3	3	2	5	3	2	3.5
5	2.19	2	1	1	4	1	2	4.5
1	2.19	2	2	3	4	2	2	3.5
1	2.19	2	4	4	5	2	6	4.5
2	2	3	3	2	4	2	6	3.5
1	2.19	1	4	1	5	4	2	4
1	3	2	1	3	4	2	6	3.5
5	2.19	2	2	2	1	1	4	3.5
1	2	2	1	1	4	1	6	4
5	4	4	4	4	4	4	2	4
1	2.19	1	1	1	5	1	6	4.5
1	2.19	1	2	1	4	1	3	3.5
4	4	4	4	3	4	3	3	3.5
1	2.19	5	5	5	5	5	3	4
1.73	4	2	2	2	3	2	5	3.5
3	3	2	3	2	4	4	3	3.5
1	2.19	1	1	2	4	1	3	4.5
5	2.19	4	1	1	3	2	3	3.5
1	2.19	4	2	2	4	4	6	4
5	5	4	2	2	5	2	3	5
2	2.19	3	4	2	4	4	5	3.5
1	1	3	2	2	4	3	6	3.5
1	2	2	3	2	4	4	5	4.5
1	1	4	4	3	5	5	2	4
1	2	1	2	4	5	3	3	5
1	2.19	1	2	3	4	3	6	4
4	4	4	4	2	4	2	4	4
1	1	2	1	1	3	1	6	3.5
1	3	1	1	1	4	1	2	4
1	3	4	5	3	3	3	3	4.5
4	2.19	5	4	3	5	4	2	3.5
5	2.19	5	3	3	3	3	2	4
1	2.19	4	4	4	4	3	6	4
1	1	4	3	2	4	2	6	3.5
1	2.19	2	2	2	3	2	4	4.5
1	2	4	3	2	4	3	1	3.5
1	2.19	4	4	3	4	3	2	4
1	3	2	2	2	5	3	3	4.5
1	2.19	5	3	4	5	4	2	4
4	2.19	4	3	4	4	3	3	3.5
1	1	1	2	1	5	2	6	5
2	2.19	2	4	3	5	4	6	4
1.73	4	2	1	1	5	3	3	4
1	1	4	3	2	4	3	6	3.5
1	2.19	3	2	2.42	5	3	6	4.5
2	2.19	2	1	1	4	2	6	4
1	2.19	1	2	1	3	2	3	3.5
2	3	3	3	2	3	2	3	3.5
1	1	1	5	3	5	2	6	4
1	2	4	5	3	4	5	6	4
1	1	1	1	1	4	1	6	4.5
1	2.19	4	2	2	4	3	3	3.5
1	1	3	3	2	4	3	6	3.5
1	3	2	3	2	4	3	1	3.5
1	2.19	1	3	2	4	1	1	3.5
1	2.19	2	2	3	4	3	6	3.5
1	2.19	2	2	2	4	2	6	4.5
5	4	4	4	3	4	2	3	5
1	2.19	5	4	3	5	4	2	5
